genres,title,release_date,runtime,vote_average,director
Action,The Bounty Hunter,3/16/2010,110,5.5,Andy Tennant
Action,Criminal,4/14/2016,113,5.7,Ariel Vromen
Action,Agent Cody Banks,3/14/2003,102,5,Harald Zwart
Action,Furious 7,4/1/2015,137,7.3,James Wan
Action,Max Payne,10/15/2008,100,5.2,John Moore
Action,Torque,1/16/2004,84,4.7,Joseph Kahn
Action,State of Play,4/17/2009,127,6.7,Kevin Macdonald
Action,Risen,2/19/2016,107,5.7,Kevin Reynolds
Action,Bloodsport,2/26/1988,92,6.6,Newt Arnold
Action,Driven,4/27/2001,116,4.5,Renny Harlin
Action,Stealth,7/28/2005,121,4.9,Rob Cohen
Action,Once Upon a Time in Mexico,9/11/2003,102,6.2,Robert Rodriguez
Action,The Man with the Iron Fists,11/2/2012,96,5.2,RZA
Action,American Heist,9/11/2014,94,4.3,Sarik Andreasyan
Action,Maze Runner: The Scorch Trials,9/9/2015,132,6.4,Wes Ball
Adventure,The Secret Life of Bees,9/17/2008,114,7.4,Gina Prince-Bythewood
Adventure,Medicine Man,2/7/1992,106,5.8,John McTiernan
Adventure,Blue Crush,8/8/2002,104,5.6,John Stockwell
Adventure,Wrath of the Titans,3/27/2012,99,5.5,Jonathan Liebesman
Adventure,Robin Hood: Prince of Thieves,6/14/1991,143,6.6,Kevin Reynolds
Adventure,Waterworld,7/28/1995,135,5.9,Kevin Reynolds
Adventure,Rob Roy,4/13/1995,139,6.5,Michael Caton-Jones
Adventure,Master and Commander: The Far Side of the World,11/14/2003,138,6.9,Peter Weir
Adventure,The Phantom,6/6/1996,100,4.7,Simon Wincer
Adventure,The Ghost and the Darkness,10/11/1996,109,6.4,Stephen Hopkins
Adventure,Indiana Jones and the Last Crusade,5/24/1989,127,7.6,Steven Spielberg
Adventure,Indiana Jones and the Kingdom of the Crystal Skull,5/21/2008,122,5.7,Steven Spielberg
Adventure,Raiders of the Lost Ark,6/12/1981,115,7.7,Steven Spielberg
